no.of threads,mult. time in ns
1,1993806348
2,436626303
3,119432950
4,256468030
5,33936660
6,58706591
7,58910969
8,59320335
9,38351061
10,60758265
11,215960950
12,57010690
13,80261335
14,151098213
15,155961134
16,426983954
17,31017607
18,28701696
19,31470050
20,32236389
21,32035344
22,30554844
23,32047244
24,31174723
25,31423112
26,32255942
27,32854599
28,34381748
29,28110918
30,31516924
31,32685011
32,32480905
33,26842786
34,31107617
35,31735103
36,29770824
37,29666503
38,30807962
39,30941073
40,31912187
41,32060913
42,30093903
43,30840301
44,35512764
45,30663496
46,30530736
47,31506460
48,30119861
49,30307776
50,56783918
51,32989998
52,30870009
53,31141167
54,29621496
55,31911298
56,31443391
57,32505642
58,31626978
59,32239172
60,28511552
61,31280583
62,34486716
63,27978587
64,30937667
