Workload,TurnAroundP1,TurnAroundP2
1,149701.000000,149841.000000
5,143630.000000,143850.000000
10,209331.000000,209571.000000
50,534455.000000,534675.000000
100,691456.000000,691477.000000
500,1423318.000000,1423369.000000
1000,1704999.000000,1705079.000000
25,234880.000000,235041.000000
250,313768.000000,313958.000000
2500,1115991.000000,1116112.000000
5000,1662261.000000,1662371.000000
10000,1092287.000000,1092447.000000
25000,1816503.000000,1816634.000000
50000,2367078.000000,2367248.000000
100000,2512043.000000,2512233.000000
250000,1611662.000000,1611873.000000
500000,2858635.000000,2858805.000000
1000000,3190853.000000,3288817.000000
125,172515.000000,172746.000000
1250,306553.000000,306742.000000
12500,1598831.000000,1598960.000000
125000,1630760.000000,1631011.000000
1250000,1439226.000000,1689726.000000
2500000,387857.000000,2964126.000000
5000000,2725209.000000,6405685.000000
10000000,1310136.000000,9670184.000000
12500000,971578.000000,9348177.000000
25000000,3230967.000000,22452056.000000
50000000,4046836.000000,36945874.000000
100000000,899276.000000,70606943.000000
125000000,2882075.000000,84178030.000000
250000000,3790760.000000,177228154.000000
500000000,5005934.000000,303504491.000000
1000000000,6518889.000000,588445432.000000
